borough,cuisine,grades,name,restaurant_id,building,street,zipcode
Manhattan,Pizza,0.6666666666666666,Casa Nonna,41618389,4,Pennsylvania Plaza,10001.0
Manhattan,Delicatessen,0.6666666666666666,Simply Chicken & Carnegie Deli,41618392,4,Pennsylvania Plaza,10001.0
Manhattan,Sandwiches/Salads/Mixed Buffet,3.0,Sausage Boss,41618393,4,Pennsylvania Plaza,10001.0
Queens,American ,12.428571428571429,Create,41618394,3603,30 Avenue,11103.0
Manhattan,Chicken,1.6666666666666667,Chicken-Fries,41618395,4,Pennsylvania Plaza,10001.0
Manhattan,"Bottled beverages, including water, sodas, juices, etc.",1.3333333333333333,Bar At The Garden,41618397,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs,2.3333333333333335,Garden Market,41618399,4,Pennsylvania Plaza,10001.0
Manhattan,American ,0.0,Employee Feeding,41618400,4,Pennsylvania Plaza,10001.0
Manhattan,Sandwiches/Salads/Mixed Buffet,0.6666666666666666,Simply Tacos,41618402,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs,0.0,Hot Dog Concession,41618405,4,Pennsylvania Plaza,10001.0
Brooklyn,Vegetarian,9.25,Mob Restaurant,41618406,525,Atlantic Avenue,11217.0
Manhattan,Hotdogs,0.6666666666666666,Garden Market Simply Chicken,41618407,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs,0.6666666666666666,Hot Dog Concession,41618408,4,Pennsylvania Plaza,10001.0
Manhattan,Delicatessen,1.0,Carnegie Deli East,41618410,4,Pennsylvania Plaza,10001.0
Manhattan,Chicken,0.0,Simply Chicken-Lobster Roll East,41618411,4,Pennsylvania Plaza,10001.0
Manhattan,Mexican,5.333333333333333,Brooklyn Taco,41618413,120,Essex Street,10002.0
Manhattan,American ,0.6666666666666666,Ball Park Hot Dog,41618421,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs/Pretzels,0.6666666666666666,Hot Dog Concession,41618427,4,Pennsylvania Plaza,10001.0
Manhattan,Sandwiches/Salads/Mixed Buffet,2.3333333333333335,Healthy-At The Garden,41618432,4,Pennsylvania Plaza,10001.0
Manhattan,Japanese,1.3333333333333333,Senza Sushi/Lobster Shrimp Roll,41618435,4,Pennsylvania Plaza,10001.0
Manhattan,American ,1.3333333333333333,Hill Country,41618437,4,Pennsylvania Plaza,10001.0
Manhattan,American ,0.6666666666666666,Daily Burger-Sausage Boss,41618440,4,Pennsylvania Plaza,10001.0
Manhattan,American ,15.0,Spring Natural Kitchen,41618541,474,Columbus Avenue,10024.0
Staten Island,American ,9.0,Richmond County Yacht Club,41618586,142,Mansion Avenue,10308.0
Queens,Chinese/Japanese,10.8,Tian Fu Cuisine,41618592,13620,Roosevelt Avenue,11354.0
Brooklyn,Chinese,15.0,Good Friend,41618601,1423,Myrtle Avenue,11237.0
Brooklyn,Chinese,12.0,New Garden Chinese Restaurant,41618606,850,East New York Avenue,11203.0
Queens,Japanese,9.5,Sushi Akio,41618609,7145,Yellowstone Boulevard,11375.0
Bronx,Chinese,14.8,Broadway Chinese Kitchen,41618644,5979,Broadway,10463.0
Manhattan,American ,10.0,The Everett Cafe/Starbucks-Teachers College,41618756,525,West  120 Street,10027.0
Brooklyn,American ,9.25,Mary'S Bar,41618759,708,5 Avenue,11215.0
Manhattan,Mexican,11.25,Tortaria,41618840,94,University Place,10003.0
Brooklyn,Italian,10.333333333333334,Testo,41618871,141,Leonard Street,11206.0
Manhattan,Bakery,7.333333333333333,Nuchas,41618882,0,Broadway Plaza,10036.0
Bronx,Spanish,10.5,Loly Restaurant,41618926,890,Morris Avenue,10451.0
Queens,Pizza,11.166666666666666,"Matese Caterers, Ristorante & Pizzeria",41618952,26-15,Francis Lewis Boulevard,11358.0
Manhattan,American ,11.666666666666666,Sons Of Essex,41619055,133,Essex Street,10002.0
Manhattan,Indian,10.666666666666666,Papadam,41619084,1448,1 Avenue,10021.0
Brooklyn,Mexican,10.0,Pedro'S Mexican Bar & Restaurant,41619116,73,Jay Street,11201.0
Queens,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19.6,La Pollera Colorada Ii,41619148,8213,Northern Boulevard,11372.0
Bronx,Chicken,8.0,Kennedy Chicken & Pizza,41619150,124,Featherbed Lane,10452.0
Queens,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6.333333333333333,La Dulce Bakery,41619192,6710,Roosevelt Avenue,11377.0
Bronx,American ,9.75,Au Bon Pain/ Andale Mexican Grill (Bxcc),41619215,2155,University Avenue,10453.0
Bronx,Chinese,12.666666666666666,Golden Gate Express,41619346,300,West  231 Street,10463.0
Staten Island,Pizza,8.666666666666666,Little Caesars,41619462,1743,Richmond Road,10306.0
Brooklyn,Jewish/Kosher,8.5,T-Fusion Steak House,41619555,3223,Quentin Road,11234.0
Staten Island,American ,14.25,Charlie Brown'S Steakhouse,41619579,1001,Goethals Road North,10303.0
Queens,Korean,10.333333333333334,Song'S Food,41619622,162-20,Northern Boulevard,11358.0
Manhattan,Italian,13.5,Osteria Del Principe,41619628,1,Madison Avenue,10010.0
Brooklyn,Chinese,9.6,Happy House Of Chen,41619633,895,Clarkson Avenue,11203.0
Brooklyn,American ,13.6,Burnside,41619651,506,Grand Street,11211.0
Queens,Caribbean,11.5,Starz Banquet Hall,41619654,231-36,Merrick Boulevard,11413.0
Brooklyn,"Juice, Smoothies, Fruit Salads",9.4,Energy Fuel,41619684,386,Myrtle Avenue,11205.0
Manhattan,Mexican,10.0,Anejo,41619698,668,10 Avenue,10036.0
Manhattan,Mediterranean,12.5,Grata,41619703,1076,1 Avenue,10022.0
Brooklyn,Italian,14.0,Lounge Bar Cave,41619708,2320,Mcdonald Avenue,11223.0
Queens,Chinese,16.0,New Yun Wah Restaurant,41619823,211-51,Jamaica Avenue,11428.0
Manhattan,American ,5.25,The Cannibal,41619857,113,East   29 Street,10016.0
Manhattan,Café/Coffee/Tea,14.5,Gregory'S Coffee,41619900,12,East   46 Street,10017.0
Manhattan,American ,9.25,Flavors,41619911,100,West   23 Street,10011.0
Queens,American ,12.333333333333334,Maple Leaf Lounge,41619912,0,Central Terminal,11371.0
Queens,Hamburgers,11.2,Bareburger,41619938,23-01,31 Street,11105.0
Brooklyn,American ,8.8,Brooklyn Mac,41619953,173,Montrose Avenue,11206.0
Queens,American ,13.25,A Dog And Duck,41619957,4520,Skillman Avenue,11104.0
Queens,Chinese,25.8,Lan Zhou Handmade Noodle,41620008,136-20,38 Avenue,11354.0
Manhattan,American ,2.6666666666666665,Bar,41620010,4,Pennsylvania Plaza,10001.0
Manhattan,"Ice Cream, Gelato, Yogurt, Ices",1.3333333333333333,Hot Dog-Ice Cream Concession,41620012,4,Pennsylvania Plaza,10001.0
Manhattan,American ,0.6666666666666666,Garden Pub,41620013,4,Pennsylvania Plaza,10001.0
Manhattan,American ,0.6666666666666666,East End Bar,41620014,4,Pennsylvania Plaza,10001.0
Manhattan,Chicken,0.0,Chicken-Fries Concession,41620017,4,Pennsylvania Plaza,10001.0
Queens,American ,9.6,Burger Club,41620030,3202,30 Avenue,11102.0
Bronx,Other,12.75,Little Caesars,41620035,3562,White Plains Road,10467.0
Manhattan,Mediterranean,18.2,Gazala'S Place,41620087,709,9 Avenue,10019.0
Brooklyn,Jewish/Kosher,8.75,Sushi Spot Ii,41620090,426,Kingston Avenue,11225.0
Queens,Jewish/Kosher,13.0,Odradeks Coffee House,41620092,8260,Austin Street,11415.0
Manhattan,Armenian,10.5,Holiday Inn Express,41620117,1315,West   45 Street,10036.0
Manhattan,American ,10.0,Think Coffee,41620128,73,8 Avenue,10014.0
Brooklyn,American ,11.25,C.M. Coffee Shop,41620203,340,Stanhope Street,11237.0
Manhattan,Café/Coffee/Tea,10.428571428571429,The Commons Chelsea,41620241,128,7 Avenue,10011.0
Queens,Spanish,22.833333333333332,El Puerto De Acapulco,41620272,9316,37 Avenue,11372.0
Brooklyn,Chicken,7.0,Popeye'S Chicken & Biscuits,41620293,850,Pennsylvania Avenue,11207.0
Bronx,Mexican,16.5,Taco Veloz Vip,41620301,359,East  138 Street,10454.0
Manhattan,American ,12.25,Hotel Westin Main Kitchen,41620314,270,West   43 Street,10036.0
Queens,Mexican,8.2,Tacos Gloria,41620315,103-07,Martense Avenue,11368.0
Brooklyn,Chinese,10.0,Beijing House,41620333,553,Wilson Avenue,11207.0
Manhattan,American ,2.25,Serai,41620375,150,West   17 Street,10011.0
Brooklyn,Delicatessen,12.166666666666666,Pizza & Bagel On 3Rd,41620437,663,3 Avenue,11232.0
Staten Island,American ,11.666666666666666,Tottenville Tavern,41620454,7528,Amboy Road,10307.0
Manhattan,Mediterranean,5.333333333333333,Hoomoos Asli,41620482,100,Kenmare Street,10012.0
Manhattan,Mediterranean,6.8,Lulu & Me Gastrobar,41620485,253,5 Avenue,10016.0
Manhattan,American ,20.4,Cafeone,41620607,1619,Amsterdam Avenue,10031.0
Manhattan,American ,8.6,The Smith,41620680,956,2 Avenue,10022.0
Bronx,Pizza,13.25,Little Caesars,41620893,496,East  138 Street,10454.0
Manhattan,Italian,9.4,Il Tinello Ristorante,41620905,16,West   56 Street,10019.0
Manhattan,Bakery,12.5,Puddin By Clio,41621003,102,Saint Marks Place,10009.0
